key,Unnamed: 0,Smiles_A,Smiles_B,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi,heavy_atoms,NHOHs,NOs,hetero_arom_rings,rings
a_1,0,O=C1NCC=C1,O=C1NC=CC1,-1180.113870455262,-1192.07816343145,11.964292976188064,-1179.9912335383394,-1191.87284376341,11.881610225070515,0.1226369169226018,0.205319668040147,0.0826827511175452,6.0,1.0,2.0,6.0,1.0
a_2,1,CN(CC=C1)C1=O,CN(C=CC1)C1=O,-1475.8424329174293,-1488.44566828418,12.603235366750825,-1475.5714154279058,-1487.60732362417,12.035908196264016,0.271017489523274,0.8383446600100797,0.5673271704868057,7.0,0.0,2.0,7.0,1.0
a_4,3,O=C1OC=CC1,O=C1OCC=C1,-1108.8849266882646,-1121.69574241632,12.810815728055331,-1110.6434466635583,-1123.74498049135,13.1015338277914,-1.7585199752938934,-2.0492380750299617,-0.2907180997360683,6.0,0.0,2.0,6.0,1.0
a_5,4,O=C1OC(c2ccccc2)=CC1,O=C(C=C1)OC1c1ccccc1,-2365.294991852278,-2376.53574751267,11.240755660391644,-2361.675001125097,-2373.02508028372,11.35007915862252,3.619990727180721,3.510667228949842,-0.1093234982308786,12.0,0.0,2.0,12.0,2.0
a_6,5,O=C1OCC=C1,O=C1OC=CC1,-1110.6434466635583,-1123.7447165843198,13.101269920761526,-1108.8849499067571,-1121.69609429235,12.811144385593026,1.7584967568016054,2.048622291970105,0.2901255351684995,6.0,0.0,2.0,6.0,1.0
a_7,6,C/C=C/CC(C)=O,CC/C=C\C(C)=O,-1720.737037955171,-1730.0164854322597,9.279447477088981,-1721.8586490710584,-1730.60605373356,8.747404662501824,-1.121611115887163,-0.5895683013000053,0.5320428145871574,7.0,0.0,1.0,7.0,0.0
a_8,7,O=C1CC=CC1,OC1=CC=CC1,-1295.7171401043192,-1305.72339141583,10.006251311510823,-1279.7209760309572,-1289.88175625687,10.160780225912731,15.996164073362026,15.841635158960116,-0.15452891440190794,6.0,0.0,1.0,6.0,1.0
a_9,8,O=C1CC=CCC1,OC1=CC=CCC1,-1595.0900708236584,-1605.9143812951002,10.824310471441322,-1581.210250612113,-1590.85760563841,9.647355026296962,13.87982021154562,15.05677565668998,1.1769554451443582,7.0,0.0,1.0,7.0,1.0
a_10,9,Oc1ccc(CCCO2)c2n1,O=C1NC(OCCC2)=C2C=C1,-2209.036812241878,-2217.73778636013,8.700974118251906,-2215.1431547759216,-2227.3059995794897,12.162844803568532,-6.106342534043506,-9.568213219360132,-3.4618706853166263,11.0,1.0,3.0,11.0,2.0
a_11,10,Oc1ccc(CCO2)c2n1,O=C1NC(OCC2)=C2C=C1,-1908.0856895045106,-1919.46883136823,11.383141863719402,-1911.177541831564,-1923.5532324767898,12.375690645226314,-3.091852327053175,-4.084401108560087,-0.9925487815069118,10.0,1.0,3.0,10.0,2.0
a_12,11,CC(C)C1=C(C)CCC1,CC(CCC1)C1=C(C)C,-2516.0593632136765,-2522.18726801764,6.127904803963247,-2513.616165163423,-2520.58148171922,6.965316555797018,2.443198050253613,1.6057862984198437,-0.8374117518337698,9.0,0.0,0.0,9.0,1.0
a_14,13,CC(C)C1=C(C)CCCC1,CC(CCCC1)C1=C(C)C,-2813.849898113584,-2820.3605127272604,6.510614613675897,-2811.4348339682147,-2818.3011582161403,6.866324247925148,2.4150641453693424,2.0593545111200906,-0.3557096342492514,10.0,0.0,0.0,10.0,1.0
a_16,15,CC(C)C1=C(C)CCCCC1,CC(CCCCC1)C1=C(C)C,-3103.09352490372,-3108.3821337468703,5.288608843150087,-3100.180154977905,-3105.8468668946502,5.666711916745044,2.9133699258150045,2.5352668522200474,-0.3781030735949571,11.0,0.0,0.0,11.0,1.0
a_18,17,CCC1=CCOC=C1,C/C=C1/C=COCC1,-1870.9727453502749,-1880.0376025744001,9.064857224124808,-1874.1029841135626,-1884.90052941655,10.797545302987599,-3.1302387632872524,-4.862926842150046,-1.7326880788627932,8.0,0.0,1.0,8.0,1.0
a_19,18,CCC1=CCOc2c1cccc2,C/C=C1/c(cccc2)c2OCC1,-2678.4964474824624,-2684.88559911097,6.389151628507534,-2678.5829357234147,-2684.44082779922,5.857892075805466,-0.08648824095234886,0.4447713117497187,0.5312595527020676,12.0,0.0,1.0,12.0,2.0
a_20,19,OC1=CCCC1,O=C1CCCC1,-1425.4460561415199,-1433.78339722596,8.337341084439911,-1443.7777848842609,-1452.31943517522,8.541650290959296,-18.33172874274055,-18.536037949259935,-0.2043092065193832,6.0,1.0,1.0,6.0,1.0
a_21,20,OC1=CCCCC1,O=C1CCCCC1,-1727.566194617314,-1735.85973891566,8.293544298345978,-1743.338314085282,-1752.9406814796803,9.602367394398016,-15.772119467967968,-17.080942564020006,-1.3088230960520375,7.0,1.0,1.0,7.0,1.0
a_22,21,OC1=CCCCCC1,O=C1CCCCCC1,-2018.805892245396,-2027.0415586305899,8.235666385194463,-2034.345281510882,-2043.67034048607,9.325058975188083,-15.539389265486307,-16.62878185547993,-1.089392589993622,8.0,1.0,1.0,8.0,1.0
a_23,22,CCOC(C(CCC1)=C1O)=O,CCOC(C(CCC1)C1=O)=O,-2413.269056706225,-2428.1633516520496,14.894294945825095,-2415.322411319662,-2430.59112037473,15.26870905506803,-2.053354613437022,-2.427768722679957,-0.3744141092429345,11.0,1.0,3.0,11.0,1.0
a_24,23,CCOC(C(CCCC1)=C1O)=O,CCOC(C(CCCC1)C1=O)=O,-2714.808535306528,-2727.92777980452,13.119244497992439,-2714.554546381688,-2731.40378724375,16.849240862061833,0.2539889248396321,-3.4760074392297615,-3.729996364069393,12.0,1.0,3.0,12.0,1.0
a_27,24,CC(C(CCC1)=C1O)=O,CC(C(CCC1)C1=O)=O,-1995.3294347500205,-2008.372071694,13.042636943979462,-2009.378651403582,-2021.3731875379601,11.994536134377768,-14.049216653561645,-13.001115843959953,1.0481008096016922,9.0,1.0,2.0,9.0,1.0
a_26,25,CC(C(CCCC1)=C1O)=O,CC(C(CCCC1)C1=O)=O,-2294.768909656467,-2308.83708503769,14.068175381223226,-2306.6459055876207,-2320.9641408038,14.318235216179344,-11.876995931153944,-12.127055766110061,-0.2500598349561187,10.0,1.0,2.0,10.0,1.0
a_27,26,CC(C(CCC1)=C1O)=O,C/C(/O)=C(\CCC1)/C1=O,-1995.3294347500205,-2008.37224763202,13.042812881999453,-1991.9512620671799,-2009.26038275138,17.309120684200252,3.3781726828408414,-0.8881351193599585,-4.266307802200799,9.0,1.0,2.0,9.0,1.0
a_26,27,CC(C(CCCC1)=C1O)=O,C/C(/O)=C(\CCCC1)/C1=O,-2294.7237459318226,-2307.71424860113,12.990502669307261,-2287.2823585256338,-2304.0702203538603,16.787861828226138,7.4413874061888245,3.644028247269944,-3.7973591589188795,10.0,1.0,2.0,10.0,1.0
a_31,30,CC=O,C=CO,-675.8426867813532,-680.976503157673,5.133816376319828,-660.8737061150155,-666.065975979192,5.192269864176524,14.968980666337755,14.910527178481061,-0.05845348785669556,3.0,0.0,1.0,3.0,0.0
a_32,31,CC(c1ccccc1)=O,C=C(c1ccccc1)O,-1935.0923786976493,-1949.0552723770102,13.962893679360604,-1915.252289108938,-1929.4617589651998,14.209469856262105,19.840089588711407,19.59351341180991,-0.2465761769014989,9.0,0.0,1.0,9.0,1.0
a_33,32,CCC(C)=O,C/C=C(/C)\O,-1275.8362294514645,-1282.26839036541,6.43216091394538,-1259.8042863153246,-1266.1098908344302,6.3056045191056,16.03194313614017,16.158499530979952,0.1265563948397812,5.0,0.0,1.0,5.0,0.0
a_34,33,CC(C)C=O,CC(C)=CO,-1269.5880432905105,-1276.2101406229199,6.622097332409794,-1253.7805306886744,-1260.9202470912,7.139716402525664,15.807512601835926,15.289893531720054,-0.5176190701158703,5.0,0.0,1.0,5.0,0.0
a_35,34,CC(C)C(C)=O,CC(C)=C(C)O,-1573.464802218224,-1580.39492353101,6.930121312785786,-1554.884346362159,-1562.29758703185,7.413240669690822,18.580455856064876,18.09733649915984,-0.4831193569050356,6.0,0.0,1.0,6.0,0.0
a_36,35,CC(C)C(c1ccccc1)=O,CC(C)=C(c1ccccc1)O,-2527.5927611256025,-2540.5282786729604,12.935517547357447,-2508.890484137305,-2520.53045969374,11.639975556435274,18.70227698829785,19.997818979220032,1.2955419909221746,11.0,0.0,1.0,11.0,1.0
a_37,36,O=CCc1ccccc1,O/C=C\c1ccccc1,-1924.916768317653,-1938.93883629078,14.022067973127378,-1912.5878916594165,-1925.63880175272,13.050910093303402,12.32887665823614,13.300034538060114,0.971157879823977,9.0,0.0,1.0,9.0,1.0
a_38,37,CC(Cc1ccccc1)=O,C/C(/O)=C/c1ccccc1,-2228.9981229154605,-2243.53610588416,14.537982968699453,-2213.8888498682945,-2227.5482662315,13.659416363205311,15.10927304716597,15.987839652660115,0.8785666054941429,10.0,0.0,1.0,10.0,1.0
a_39,38,O=C(Cc1ccccc1)c1ccccc1,O/C(/c1ccccc1)=C\c1ccccc1,-3183.0348061806812,-3188.84457167832,5.809765497638638,-3167.9645081898143,-3181.3513714537603,13.386863263945544,15.070297990866948,7.4932002245600415,-7.577097766306906,15.0,0.0,1.0,15.0,2.0
a_40,39,O=CC(c1ccccc1)c1ccccc1,OC=C(c1ccccc1)c1ccccc1,-3172.6715377039354,-3172.94751604342,0.2759783394844817,-3163.3327850181586,-3168.29888170828,4.9660966901215025,9.338752685776852,4.648634335139832,-4.690118350637022,15.0,0.0,1.0,15.0,2.0
a_41,40,COCC(c1ccccc1)=O,CO/C=C(/c1ccccc1)\O,-2316.577188268312,-2334.02753870645,17.45035043813823,-2302.853728886509,-2318.42676269536,15.573033808850596,13.723459381802057,15.600776011089694,1.877316629287634,11.0,0.0,2.0,11.0,1.0
a_42,41,O=C(C1)Cc2c1cccc2,OC(C1)=Cc2c1cccc2,-2103.3514005193447,-2110.08887793559,6.737477416245383,-2086.737372394652,-2089.8296150603,3.092242665648428,16.61402812469305,20.259262875290002,3.645234750596956,10.0,0.0,1.0,10.0,2.0
a_43,42,O=C(CC1)c2c1cccc2,OC1=CCc2c1cccc2,-2106.473911291233,-2111.8932982573397,5.419386966107139,-2087.858829138961,-2088.81498050536,0.9561513663993536,18.615082152272407,23.078317751980194,4.463235599707787,10.0,0.0,1.0,10.0,2.0
a_33,43,CCC(C)=O,CCC(O)=C,-1275.8361365774956,-1282.26795052036,6.431813942864665,-1256.0838837846195,-1262.4318185805,6.347934795880518,19.75225279287588,19.836131939860024,0.08387914698414534,5.0,0.0,1.0,5.0,0.0
