,Smiles_A,Smiles_B,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi
0,O=C1NCC=C1,O=C1NC=CC1,-1180.113870455262,-1192.07816343145,11.964292976188062,-1179.9912335383394,-1191.87284376341,11.881610225070517,0.12263691692260181,0.205319668040147,0.0826827511175452
1,CN(CC=C1)C1=O,CN(C=CC1)C1=O,-1475.8424329174293,-1488.44566828418,12.603235366750823,-1475.571415427906,-1487.60732362417,12.035908196264018,0.271017489523274,0.8383446600100797,0.5673271704868057
2,O=C(C1c2ccccc2)OC(c2ccccc2)=C1c1ccccc1,O=C(C(c1ccccc1)=C1c2ccccc2)OC1c1ccccc1,-4865.762530032699,-4781.90668069344,-83.8558493392593,-4869.957319535908,-4781.01608244182,-88.94123709408814,-4.194789503208995,0.8905982516198492,5.085387754828844
3,O=C1OC=CC1,O=C1OCC=C1,-1108.8849266882646,-1121.69574241632,12.810815728055331,-1110.6434466635585,-1123.74498049135,13.1015338277914,-1.7585199752938934,-2.0492380750299617,-0.2907180997360683
4,O=C1OC(c2ccccc2)=CC1,O=C(C=C1)OC1c1ccccc1,-2365.294991852278,-2376.53574751267,11.240755660391642,-2361.6750011250974,-2373.02508028372,11.35007915862252,3.6199907271807206,3.510667228949842,-0.10932349823087861
5,O=C1OCC=C1,O=C1OC=CC1,-1110.6434466635585,-1123.74471658432,13.101269920761524,-1108.884949906757,-1121.69609429235,12.811144385593025,1.7584967568016054,2.048622291970105,0.2901255351684995
6,C/C=C/CC(C)=O,CC/C=C\C(C)=O,-1720.737037955171,-1730.01648543226,9.27944747708898,-1721.8586490710582,-1730.60605373356,8.747404662501822,-1.1216111158871627,-0.5895683013000053,0.5320428145871574
7,O=C1CC=CC1,OC1=CC=CC1,-1295.7171401043192,-1305.72339141583,10.006251311510823,-1279.7209760309572,-1289.88175625687,10.160780225912731,15.996164073362024,15.841635158960116,-0.15452891440190797
8,O=C1CC=CCC1,OC1=CC=CCC1,-1595.0900708236586,-1605.9143812951,10.824310471441322,-1581.210250612113,-1590.85760563841,9.647355026296964,13.87982021154562,15.056775656689979,1.1769554451443582
9,Oc1ccc(CCCO2)c2n1,O=C1NC(OCCC2)=C2C=C1,-2209.036812241878,-2217.73778636013,8.700974118251906,-2215.1431547759216,-2227.30599957949,12.162844803568532,-6.106342534043506,-9.568213219360132,-3.461870685316626
10,Oc1ccc(CCO2)c2n1,O=C1NC(OCC2)=C2C=C1,-1908.0856895045106,-1919.46883136823,11.383141863719402,-1911.1775418315638,-1923.55323247679,12.375690645226314,-3.091852327053175,-4.084401108560087,-0.9925487815069118
11,CC(C)C1=C(C)CCC1,CC(CCC1)C1=C(C)C,-2516.0593632136765,-2522.18726801764,6.127904803963247,-2513.616165163423,-2520.58148171922,6.965316555797017,2.4431980502536135,1.6057862984198437,-0.8374117518337698
12,CC(C(C)=O)C1=C(C)CCC1,CC(CCC1)/C1=C(/C)\C(C)=O,-2783.799918883513,-2793.69341126594,9.893492382427212,-2780.090594709271,-2790.85658664935,10.765991940078948,3.7093241742418286,2.8368246165900928,-0.8724995576517358
13,CC(C)C1=C(C)CCCC1,CC(CCCC1)C1=C(C)C,-2813.849898113584,-2820.36051272726,6.510614613675898,-2811.4348339682147,-2818.30115821614,6.866324247925149,2.4150641453693424,2.059354511120091,-0.3557096342492514
14,CC(C(C)=O)C1=C(C)CCCC1,CC(CCCC1)/C1=C(/C)\C(C)=O,-3081.9435655718594,-3090.66939775701,8.725832185150466,-3077.7167960526026,-3087.36317050601,9.646374453407589,4.226769519256777,3.3062272509996546,-0.9205422682571225
15,CC(C)C1=C(C)CCCCC1,CC(CCCCC1)C1=C(C)C,-3103.0935249037198,-3108.38213374687,5.288608843150087,-3100.1801549779047,-3105.84686689465,5.666711916745044,2.9133699258150045,2.5352668522200474,-0.3781030735949571
16,CC(C)/C1=C(\C)/CCCCCC1,CC(CCCCCC1)C1=C(C)C,-3393.90462932087,-3397.20374493838,3.2991156175103242,-3394.8043482480007,-3397.619310539,2.8149622909991194,-0.8997189271308343,-0.41556560061962955,0.4841533265112048
17,CCC1=CCOC=C1,C/C=C1/C=COCC1,-1870.972745350275,-1880.0376025744,9.064857224124808,-1874.1029841135623,-1884.90052941655,10.7975453029876,-3.1302387632872524,-4.862926842150046,-1.7326880788627932
18,CCC1=CCOc2c1cccc2,C/C=C1/c(cccc2)c2OCC1,-2678.4964474824624,-2684.88559911097,6.389151628507534,-2678.5829357234147,-2684.44082779922,5.8578920758054664,-0.08648824095234886,0.44477131174971873,0.5312595527020676
19,OC1=CCCC1,O=C1CCCC1,-1425.44605614152,-1433.78339722596,8.337341084439913,-1443.7777848842607,-1452.31943517522,8.541650290959296,-18.33172874274055,-18.536037949259935,-0.20430920651938322
